year,binned,count
2015,<=20 Years,72
2015,21-40 Years,568
2015,41-60 Years,295
2015,Over 60 Years,44
2016,<=20 Years,67
2016,21-40 Years,563
2016,41-60 Years,259
2016,Over 60 Years,43
2017,<=20 Years,73
2017,21-40 Years,556
2017,41-60 Years,271
2017,Over 60 Years,51
2018,<=20 Years,67
2018,21-40 Years,526
2018,41-60 Years,273
2018,Over 60 Years,61
2019,<=20 Years,64
2019,21-40 Years,515
2019,41-60 Years,285
2019,Over 60 Years,65
2020,<=20 Years,33
2020,21-40 Years,291
2020,41-60 Years,132
2020,Over 60 Years,32
